"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","regulation"
"4498",109.259908494732,-1.84073816177828,0.272483570855348,-6.75540971516212,1.42432179993538e-11,4.40670597276955e-11,"MT1JP","Down"
"105371214",2.4474795324035,2.27438573572827,0.33673142307888,6.75430203374721,1.43524486948171e-11,4.44002382117674e-11,NA,"Up"
"79365",87.5260519335331,1.09319919526857,0.161865749486136,6.75374005148758,1.44081801789645e-11,4.45678595911729e-11,"BHLHE41","Up"
"391267",5.55330353183039,-1.47765193840289,0.218816688025811,-6.75292159722564,1.44897251477774e-11,4.48152835147345e-11,"ANKRD20A11P","Down"
"2898",19.1155017965224,1.38995636329089,0.205831859414955,6.75287279258721,1.44946019493244e-11,4.48255527208596e-11,"GRIK2","Up"
"100506119",27.3715899399506,0.918894716749988,0.136078391811098,6.75268648108059,1.45132339054287e-11,4.48783539148002e-11,"LINC01503","NS"
"100421746",2.22350276078685,4.03954408635106,0.598390992040618,6.7506766313034,1.47157248831235e-11,4.54996183362884e-11,"LOC100421746","Up"
"201651",99.5522303999188,-0.968978008033317,0.143560432622606,-6.74961749788385,1.48235424059261e-11,4.58280594960665e-11,"AADACP1","NS"
"693209",5.77510208021652,-0.740617988022474,0.109731703353978,-6.74935287966279,1.48506005374107e-11,4.59067834130908e-11,"MIR624","NS"
"100129917",172.38594197574,0.554091395631485,0.0821019255716407,6.74882338962921,1.49048880387564e-11,4.60696539379743e-11,"PCGF3-AS1","NS"
"100507135",2.45246325504697,-1.04199028300191,0.154418136634628,-6.7478490915053,1.5005289079878e-11,4.63750069674101e-11,"SPART-AS1","Down"
"11181",212.639934141722,-0.78498950731058,0.116335313368205,-6.74764596048374,1.50263049405094e-11,4.64349747480192e-11,"TREH","NS"
"107986041",1.89368893831275,3.10301408370471,0.459884767317134,6.74737304696349,1.50545858596073e-11,4.65173780670569e-11,"LINC01967","Up"
"389906",151.421829219687,-0.574252897593877,0.0851160131559667,-6.7467081257861,1.51237073350781e-11,4.67259439797853e-11,"LOC389906","NS"
"1646",5962.60760699023,0.928752914632558,0.137672276942678,6.74611428863968,1.51857019898187e-11,4.69124486057498e-11,"AKR1C2","NS"
"79834",765.835436492044,0.374947115668829,0.055580044492879,6.74607440655914,1.51898744554e-11,4.69203051127974e-11,"PEAK1","NS"
"157273",233.272866211,-1.23522448169462,0.183113716456654,-6.74566878766299,1.52323741557953e-11,4.7046536994701e-11,"LOC157273","Down"
"28366",3.76051748781511,4.19391442298053,0.621777513459352,6.74504035960879,1.52984492974114e-11,4.72455488329067e-11,"IGHVII-44-2","Up"
"64800",48.8016160330141,-0.65845695566612,0.0976399085705138,-6.74372769604341,1.54373741737147e-11,4.766947259861e-11,"EFCAB6","NS"
"10994",1169.55537429083,-0.397883290934524,0.0590025160773379,-6.74349701312731,1.54619156574273e-11,4.7740135853178e-11,"ILVBL","NS"
"101928214",72.5331142943738,0.730418526348052,0.108321723562166,6.74304749156676,1.55098483765405e-11,4.78778661751114e-11,"LOC101928214","NS"
"112268037",28.0063274543368,1.25692174888563,0.186402243351596,6.74306127590317,1.550837638514e-11,4.78778661751114e-11,NA,"Up"
"140578",12.6008646537929,1.27642330670246,0.189307410341987,6.74259557191438,1.55581834841404e-11,4.8021925828111e-11,"CHODL","Up"
"594855",2.49175065173677,1.62846911700982,0.24153415716266,6.74218974301485,1.5601714646458e-11,4.8151128323727e-11,"CPLX3","Up"
"25851",750.398894443694,0.386446462932219,0.0573212336373345,6.74176807458866,1.56470711827252e-11,4.82859361251736e-11,"TECPR1","NS"
"101059949",7.43453358209227,1.18994453617153,0.176526542377491,6.7408816835426,1.57428367877205e-11,4.85762577748608e-11,NA,"Up"
"112755",164.71880553152,-0.692638851727113,0.102757643487929,-6.74050930146603,1.57832399192247e-11,4.86957085058747e-11,"STX1B","NS"
